IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_HOUSEHOLD_COMP_BY_AGE,DIM_DEG_URB,DIM_SEX,DIM_POP_TYPE,DIM_AGE,PERCENT_POP_N
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2000,YEAR,356,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,India,,RURAL,,,,16.84
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2017,YEAR,764,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Thailand,,RURAL,,,,2.07
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2003,YEAR,410,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Republic of Korea,,RURAL,,,,11.14
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2012,YEAR,180,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Democratic Republic of the Congo,,RURAL,,,,5.41
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2010,YEAR,270,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Gambia,,RURAL,,,,0.73
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2017,YEAR,818,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Egypt,,RURAL,,,,31.61
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2014,YEAR,496,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Mongolia,,RURAL,,,,2.56
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2014,YEAR,524,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Nepal,,RURAL,,,,9.73
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2008,YEAR,591,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Panama,,RURAL,,,,1.74
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2009,YEAR,642,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Romania,,RURAL,,,,9.55
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2009,YEAR,275,NATIONAL LIBERATION MOVEMENT,PUBLISHED,Household health expenditure greater than 10% of household budget,"occupied Palestinian territory, including east Jerusalem",,RURAL,,,,10.39
A65146DFINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_10_POP,A65146D,FINPROTECTION_CATA_TOT_10_POP,2018,YEAR,324,COUNTRY,PUBLISHED,Household health expenditure greater than 10% of household budget,Guinea,,RURAL,,,,1.95
